1,,
A8:BD:27:CF:86:A1,eduroam,-79
70:3A:0E:5F:22:02,SenecaNET,-69
70:3A:0E:5F:C8:61,eduroam,-82
A8:BD:27:CF:20:C0,SenecaGuest,-69
70:3A:0E:5F:DD:40,SenecaGuest,-55
70:3A:0E:5F:DD:41,eduroam,-52
70:3A:0E:5F:EF:C0,SenecaGuest,-73
70:3A:0E:5F:EF:C1,eduroam,-72
70:3A:0E:5F:EF:C2,SenecaNET,-74
A8:BD:27:CF:20:C1,eduroam,-71
A8:BD:27:CF:20:C2,SenecaNET,-65
70:3A:0E:5F:DD:42,SenecaNET,-47
A8:BD:27:CF:20:01,eduroam,-84
A8:BD:27:CF:20:02,SenecaNET,-85
70:3A:0E:5F:E9:40,SenecaGuest,-83
5E:CF:7F:1A:06:1F,ESP8266-Dragon,-91
4,,
40:E3:D6:23:44:61,SenecaGuest,-66
40:E3:D6:23:44:62,eduroam,-62
5E:CF:7F:19:98:54,ESP8266-Eagle,-56
70:3A:0E:5F:DC:40,SenecaGuest,-58
70:3A:0E:5F:DC:41,eduroam,-60
70:3A:0E:5F:DC:42,SenecaNET,-59
40:D3:AE:2F:55:8C,SM-A520W0599,-79
A8:BD:27:CF:18:E2,SenecaNET,-77
5E:CF:7F:C3:34:38,ESP8266-Carp,-78
A8:BD:27:CE:EC:20,SenecaGuest,-74
A8:BD:27:CE:EC:21,eduroam,-72
A8:BD:27:CE:EC:22,SenecaNET,-70
40:E3:D6:23:40:64,SenecaNET,-74
70:3A:0E:5F:B4:A2,SenecaNET,-74
A8:BD:27:CF:83:21,eduroam,-72
A8:BD:27:CF:83:22,SenecaNET,-72
A8:BD:27:CF:1C:A2,SenecaNET,-69
40:E3:D6:23:44:64,SenecaNET,-61
A8:BD:27:CF:83:20,SenecaGuest,-73
70:3A:0E:5F:C8:60,SenecaGuest,-69
70:3A:0E:5F:C8:61,eduroam,-66
70:3A:0E:5F:C8:62,SenecaNET,-63
A8:BD:27:CE:E6:C2,SenecaNET,-78
