Closest Node is 21
Timestamp: 3137942
MAC of ESP is 5C:CF:7F:19:92:83
70:3A:0E:5F:22:02,SenecaNET,-78
A8:BD:27:CF:95:40,SenecaGuest,-87
A8:BD:27:CF:95:41,eduroam,-90
70:3A:0E:5F:EE:80,SenecaGuest,-62
A8:BD:27:CF:3D:62,SenecaNET,-70
A8:BD:27:CF:16:62,SenecaNET,-83
A8:BD:27:CE:F1:00,SenecaGuest,-82
70:3A:0E:5F:DC:E1,eduroam,-78
70:3A:0E:5F:EE:81,eduroam,-62
70:3A:0E:5F:EE:82,SenecaNET,-59
A8:BD:27:CF:3D:60,SenecaGuest,-72
A8:BD:27:CF:3D:61,eduroam,-73
70:3A:0E:5F:E8:00,SenecaGuest,-67
70:3A:0E:5F:E8:01,eduroam,-67
70:3A:0E:5F:E8:02,SenecaNET,-62
A8:BD:27:CE:FE:20,SenecaGuest,-88
A8:BD:27:CE:EE:42,SenecaNET,-81
A8:BD:27:CF:3C:22,SenecaNET,-79
A8:BD:27:CF:20:C0,SenecaGuest,-57
A8:BD:27:CF:20:C1,eduroam,-56
A8:BD:27:CF:20:C2,SenecaNET,-47
70:3A:0E:5F:EF:C0,SenecaGuest,-46
A8:BD:27:CF:86:80,SenecaGuest,-70
A8:BD:27:CF:86:81,eduroam,-70
A8:BD:27:CF:86:82,SenecaNET,-63
70:3A:0E:5F:EF:C1,eduroam,-46
70:3A:0E:5F:EF:C2,SenecaNET,-36
A8:BD:27:CF:1A:A1,eduroam,-72
40:E3:D6:20:C3:21,SenecaGuest,-72
40:E3:D6:20:C3:22,eduroam,-71
40:E3:D6:20:C3:24,SenecaNET,-71
70:3A:0E:5F:DD:41,eduroam,-72
70:3A:0E:5F:EB:C0,SenecaGuest,-84
70:3A:0E:5F:EB:C1,eduroam,-85
70:3A:0E:5F:C4:01,eduroam,-78
40:E3:D6:23:44:61,SenecaGuest,-79
70:3A:0E:5F:EE:41,eduroam,-74
40:E3:D6:23:44:64,SenecaNET,-78
A8:BD:27:CE:4A:C0,SenecaGuest,-84
40:E3:D6:23:40:61,SenecaGuest,-72
Closest Node is 19
Timestamp: 3494728
MAC of ESP is 5C:CF:7F:19:92:83
40:E3:D6:23:40:61,SenecaGuest,-76
5E:CF:7F:1A:06:1F,ESP8266-Dragon,-56
70:3A:0E:5F:D3:A0,SenecaGuest,-55
70:3A:0E:5F:D3:A1,eduroam,-53
70:3A:0E:5F:D3:A2,SenecaNET,-45
5E:CF:7F:C3:34:38,ESP8266-Carp,-70
70:3A:0E:5F:DC:42,SenecaNET,-79
A8:BD:27:CF:89:20,SenecaGuest,-79
A8:BD:27:CF:89:21,eduroam,-79
A8:BD:27:CF:89:22,SenecaNET,-73
5E:CF:7F:C6:D5:05,ESP8266-Aardvark,-89
A8:BD:27:CF:3C:20,SenecaGuest,-76
A8:BD:27:CF:3C:21,eduroam,-76
A8:BD:27:CE:3F:A1,eduroam,-89
5E:CF:7F:19:98:54,ESP8266-Eagle,-84
70:3A:0E:5F:EE:40,SenecaGuest,-86
70:3A:0E:5F:EE:41,eduroam,-86
40:E3:D6:23:40:62,eduroam,-74
40:E3:D6:23:40:64,SenecaNET,-72
A8:BD:27:CF:83:20,SenecaGuest,-90
A8:BD:27:CF:83:21,eduroam,-90
70:3A:0E:5F:22:00,SenecaGuest,-92
70:3A:0E:5F:22:01,eduroam,-88
70:3A:0E:5F:22:02,SenecaNET,-83
A8:BD:27:CF:1C:A0,SenecaGuest,-88
A8:BD:27:CF:1C:A1,eduroam,-87
A8:BD:27:CF:1C:A2,SenecaNET,-81
40:E3:D6:23:44:61,SenecaGuest,-88
70:3A:0E:5F:DC:40,SenecaGuest,-81
70:3A:0E:5F:DC:41,eduroam,-79
A8:BD:27:CE:EE:40,SenecaGuest,-89
A8:BD:27:CE:EE:41,eduroam,-87
A8:BD:27:CE:F2:01,eduroam,-89
A8:BD:27:CF:53:81,eduroam,-84
70:3A:0E:5F:EE:80,SenecaGuest,-71
70:3A:0E:5F:EE:81,eduroam,-68
70:3A:0E:5F:EE:82,SenecaNET,-69
A8:BD:27:CE:F2:42,SenecaNET,-73
A8:BD:27:CF:07:40,SenecaGuest,-82
A8:BD:27:CF:3D:60,SenecaGuest,-63
A8:BD:27:CF:3D:61,eduroam,-63
A8:BD:27:CF:3D:62,SenecaNET,-61
A8:BD:27:CE:F2:41,eduroam,-83
A8:BD:27:CF:16:60,SenecaGuest,-76
A8:BD:27:CF:16:61,eduroam,-77
A8:BD:27:CF:16:62,SenecaNET,-72
70:3A:0E:5F:DC:E0,SenecaGuest,-86
A8:BD:27:CF:07:41,eduroam,-80
70:3A:0E:5F:E8:00,SenecaGuest,-81
70:3A:0E:5F:E8:01,eduroam,-81
70:3A:0E:5F:E8:02,SenecaNET,-75
A8:BD:27:CE:F2:40,SenecaGuest,-80
70:3A:0E:5F:EE:42,SenecaNET,-86
A8:BD:27:CE:EE:42,SenecaNET,-86
A8:BD:27:CF:83:22,SenecaNET,-84
40:E3:D6:23:44:62,eduroam,-87
A8:BD:27:CF:3C:22,SenecaNET,-78
D8:C7:C8:E9:27:11,SenecaGuest,-90
A8:BD:27:CF:86:A2,SenecaNET,-87
70:3A:0E:5F:EF:C0,SenecaGuest,-58
A8:BD:27:CF:1A:A1,eduroam,-64
A8:BD:27:CF:86:82,SenecaNET,-69
70:3A:0E:5F:EF:C1,eduroam,-58
70:3A:0E:5F:EF:C2,SenecaNET,-54
A8:BD:27:CF:86:80,SenecaGuest,-73
A8:BD:27:CF:86:81,eduroam,-73
70:3A:0E:5F:E3:01,eduroam,-86
A8:BD:27:CF:1A:A0,SenecaGuest,-66
A8:BD:27:CF:1A:A2,SenecaNET,-63
40:E3:D6:20:C3:21,SenecaGuest,-72
40:E3:D6:20:C3:22,eduroam,-72
40:E3:D6:20:C3:24,SenecaNET,-71
A8:BD:27:CF:20:C0,SenecaGuest,-57
A8:BD:27:CF:20:C1,eduroam,-55
A8:BD:27:CF:20:C2,SenecaNET,-59
A8:BD:27:CF:18:E1,eduroam,-88
Closest Node is 24
Timestamp: 3618275
MAC of ESP is 5C:CF:7F:19:92:83
5E:CF:7F:19:98:54,ESP8266-Eagle,-48
40:E3:D6:23:40:61,SenecaGuest,-69
A8:BD:27:CF:1F:22,SenecaNET,-73
40:E3:D6:23:40:62,eduroam,-68
40:E3:D6:23:40:64,SenecaNET,-67
